연도,도시,인구소멸지수
2021,부산광역시,0.6079792011130607
2021,대구광역시,0.7009867845319121
2021,인천광역시,0.9123983526447401
2021,광주광역시,0.9059344207938991
2021,대전광역시,0.89080907023561
2021,울산광역시,0.8870171914131165
2021,세종특별자치시,1.3912433108624644
2021,수원시,1.284144309995938
2021,성남시,0.9665925526658582
2021,의정부시,0.8564879789552375
2021,안양시,0.9632577516464687
2021,부천시,0.968234479008621
2021,광명시,0.9046437476026084
2021,평택시,1.0648740324556947
2021,동두천시,0.5110049833887044
2021,안산시,1.200704153276155
2021,고양시,0.9672054850883435
2021,과천시,0.9640105540897098
2021,구리시,0.9473460171750074
2021,남양주시,0.8323092294845371
2021,오산시,1.3975946154694914
2021,시흥시,1.3931061552922706
2021,군포시,0.968955683799381
2021,의왕시,0.9676893956068143
2021,하남시,1.1207151790500012
2021,용인시,0.9465526364617193
2021,파주시,0.8881881685550912
2021,이천시,0.8593897155773216
2021,안성시,0.6114824540463117
2021,김포시,1.059880887926367
2021,화성시,1.532883770748433
2021,광주시,0.9126529685119109
2021,양주시,0.7002514511943931
2021,포천시,0.46577104950958276
2021,여주시,0.4301686033720674
2021,연천군,0.3181088004167933
2021,가평군,0.31006906579425664
2021,양평군,0.31823062745412295
2021,춘천시,0.6622811712386754
2021,원주시,0.7904704452183132
2021,강릉시,0.4620968792048266
2021,동해시,0.4309257705734311
2021,태백시,0.30265240539114585
2021,속초시,0.5015950692229071
2021,삼척시,0.3363965049713769
2021,홍천군,0.28533621388063735
2021,횡성군,0.2260934819897084
2021,영월군,0.22306888443786466
2021,평창군,0.2261711091644767
2021,정선군,0.23759701345908243
2021,철원군,0.391255108572554
2021,화천군,0.40422885572139305
2021,양구군,0.44234404536862004
2021,인제군,0.45632958801498125
2021,고성군,0.21183685228629048
2021,양양군,0.2358440328974617
2021,청주시,0.9470227217874013
2021,충주시,0.48431308181114735
2021,제천시,0.4155486062073372
2021,보은군,0.16713906111603188
2021,옥천군,0.23782685628153877
2021,영동군,0.21656957500330995
2021,진천군,0.6422515140719629
2021,괴산군,0.17337193562941797
2021,음성군,0.39312410276718973
2021,단양군,0.1937273426342964
2021,증평군,0.5855403348554034
2021,천안시,1.2735789452230684
2021,공주시,0.3315883829329509
2021,보령시,0.3025407660219947
2021,아산시,0.8991321073915713
2021,서산시,0.527120031531395
2021,논산시,0.31199654084525086
2021,계룡시,0.8451289804403288
2021,당진시,0.5065887872538061
2021,금산군,0.20385232744783308
2021,부여군,0.18160501402524545
2021,서천군,0.15779527559055118
2021,청양군,0.17305620398635302
2021,홍성군,0.3803626439514545
2021,예산군,0.2216315270142371
2021,태안군,0.2108741516484075
2021,전주시,0.8381274872582559
2021,군산시,0.5332514116855379
2021,익산시,0.5177559384778105
2021,정읍시,0.2859678516331304
2021,남원시,0.27511527786883455
2021,김제시,0.2303964257317027
2021,완주군,0.3808536613456799
2021,진안군,0.1795201610648174
2021,무주군,0.18721799864021263
2021,장수군,0.18504169676275528
2021,임실군,0.16518125375525736
2021,순창군,0.19345427540844473
2021,고창군,0.18373086413202092
2021,부안군,0.2021828025110868
2021,목포시,0.6315458487822134
2021,여수시,0.5121604233494627
2021,순천시,0.729737829378205
2021,나주시,0.48434548680670825
2021,광양시,0.8120066270344021
2021,담양군,0.25081230556515727
2021,곡성군,0.17675401937165053
2021,구례군,0.18155263453544546
2021,고흥군,0.12354471730005888
2021,보성군,0.15021996724575318
2021,화순군,0.3173622605816978
2021,장흥군,0.19571367670425918
2021,강진군,0.19408195494971325
2021,해남군,0.2074562288430067
2021,영암군,0.28921891807488115
2021,무안군,0.5365867450802986
2021,함평군,0.16087104747293957
2021,영광군,0.2826417413241049
2021,장성군,0.2443971313312416
2021,완도군,0.1986813860778902
2021,진도군,0.20105640628028687
2021,신안군,0.13772580871026466
2021,포항시,0.5682226211849192
2021,경주시,0.395233878663354
2021,김천시,0.40304597788328805
2021,안동시,0.3729897037458152
2021,구미시,1.323115473974869
2021,영주시,0.274247197339012
2021,영천시,0.28302564102564104
2021,상주시,0.216030658838878
2021,문경시,0.24243675313653984
2021,경산시,0.6901331527378781
2021,군위군,0.114366432981061
2021,의성군,0.1216219350947598
2021,청송군,0.13909395082054277
2021,영양군,0.14702823774098073
2021,영덕군,0.14863387978142076
2021,청도군,0.14471690528464085
2021,고령군,0.19685471792311532
2021,성주군,0.1979328897069234
2021,칠곡군,0.6216601641329208
2021,예천군,0.26041114448960356
2021,봉화군,0.13805744846027776
2021,울진군,0.2648809523809524
2021,울릉군,0.2765866209262436
2021,진주시,0.6684650481233556
2021,통영시,0.4328853168952266
2021,사천시,0.38097247337753665
2021,김해시,1.003668506190604
2021,밀양시,0.25742950646259627
2021,거제시,0.9619435827140899
2021,양산시,0.8382980424290268
2021,의령군,0.16076430572228892
2021,함안군,0.2911931383060193
2021,창녕군,0.21590260111105342
2021,남해군,0.14372929193766107
2021,하동군,0.1586226814710224
2021,산청군,0.14926931106471816
2021,함양군,0.1870839131906571
2021,거창군,0.27379396474107637
2021,합천군,0.131717415681877
2021,제주시,0.8455410442532441
2021,서귀포시,0.5164126611957796
